CD_PROGRAMA_IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;AN_BASE_PRODUCAO;ID_ADD_PRODUCAO_INTELECTUAL;ID_TIPO_PRODUCAO;ID_SUBTIPO_PRODUCAO;DS_NATUREZA;NM_EDITORA;NM_CIDADE;NM_PAIS;DS_IDIOMA;NR_PAGINAS;DS_ISBN_ISSN;DS_DIVULGACAO;DS_URL;DS_OBSERVACOES;IN_GLOSA
32008015019P8;CIENCIAS DA RELIGIAO;PUC/MG;PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS;2017;23209462;2;10;RESENHA;PAULUS;SAO PAULO;BRASIL;PORTUGUES;292;9788534941273;MEIO DIGITAL;HTTPS://WWW.METODISTA.BR/REVISTAS/REVISTAS-IMS/INDEX.PHP/ER/ARTICLE/VIEW/7642/6023;-;0
32008015019P8;CIENCIAS DA RELIGIAO;PUC/MG;PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS;2017;23209476;2;10;RESENHA;HORIZONTE (PERIODICO);BELO HORIZONTE;BRASIL;PORTUGUES;-;-;MEIO DIGITAL;HTTP://PERIODICOS.PUCMINAS.BR/INDEX.PHP/HORIZONTE/ARTICLE/VIEW/P.2175-5841.2017V15N46P674/11887;-;0
33057010004P0;PSICOLOGIA;UNIB;UNIVERSIDADE IBIRAPUERA;2017;23210302;2;10;MANUAL DE METODOLOGIA CIENTIFICA;INEPO;-;BRASIL;PORTUGUES;-;-;OUTRO;-;-;0
12002011001P7;CIENCIAS BIOLOGICAS;INPA;INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA;2017;23210683;2;10;CAPITULO DE LIVRO;ED. SBPC;SAO PAULO;-;PORTUGUES;21;978-85-86957-30-7;IMPRESSO;-;IN: SONIA BARBOSA MAGALHAES E MANUELA CARNEIRO DA CUNHA (ORG.). A EXPULSAO DE RIBEIRINHOS EM BELO MONTE. SBPC. SAO PAULO. 448 PP.;0
12002011001P7;CIENCIAS BIOLOGICAS;INPA;INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA;2017;23210699;2;10;CAPITULO DE LIVRO;SPRINGER INTERNATIONAL SWITZERLAND;-;SWITZERLAND;INGLES;15;-;IMPRESSO;-;-;0
12002011001P7;CIENCIAS BIOLOGICAS;INPA;INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA;2017;23210864;2;10;CAPITULO DE LIVRO;SBPC;SAO PAULO;-;PORTUGUES;5;978-85-86957-30-7;IMPRESSO;-;IN: SONIA BARBOSA MAGALHAES E MANUELA CARNEIRO DA CUNHA (ORG.). A EXPULSAO DE RIBEIRINHOS EM BELO MONTE. SBPC. SAO PAULO. 448 PP.;0
12002011001P7;CIENCIAS BIOLOGICAS;INPA;INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA;2017;23210865;2;10;CAPITULO DE LIVRO;SBPC;SAO PAULO;BRASIL;PORTUGUES;7;987-85-86957-30-7;IMPRESSO;-;IN: SONIA BARBOSA MAGALHAES E MANUELA CARNEIRO DA CUNHA (ORG.). A EXPULSAO DE RIBEIRINHOS EM BELO MONTE. SBPC. SAO PAULO. 448 PP.;0
53001010035P1;POLITICA SOCIAL;UNB;UNIVERSIDADE DE BRASILIA;2017;23211559;2;10;ENTREVISTA PARA O PROJETO 'COMO EU ESCREVO' - ENTREVISTADOR: JOSE NUNES;BLOG DO ENTREVISTADOR;BRASILIA;BRASIL;PORTUGUES;1;-;MEIO DIGITAL;HTTPS://COMOEUESCREVO.COM/CAMILA-POTYARA/;-;0
53001010035P1;POLITICA SOCIAL;UNB;UNIVERSIDADE DE BRASILIA;2017;23211615;2;10;CFESS MANIFESTA EDICAO ESPECIAL;CFESS;BRASILIA;BRASIL;PORTUGUES;5;-;VARIOS;WWW.CFESS.ORG.BR;-;0
53001010035P1;POLITICA SOCIAL;UNB;UNIVERSIDADE DE BRASILIA;2017;23211691;2;10;RELATORIO DE PESQUISA;NAO FOI PUBLICADO POR EDITORA;-;BRASIL;PORTUGUES;-;-;OUTRO;-;-;0
33002010188P9;BIOINFORMATICA;USP;UNIVERSIDADE DE SAO PAULO;2017;23212600;2;10;ARTIGO SUBMETIDO [MINOR CORRECTIONS];ELSEVIER;-;HOLANDA;INGLES;-;-;IMPRESSO;-;-;0
